model,receipt,parsed,n_gt_items,n_pred_items,item_precision,item_recall,item_f1,name_cer,qty_acc,unit_price_acc,total_price_acc,item_exact_rate,subtotal_ok,charges_recall,total_ok,consistent
DeepSeek (deepseek-flash),nota_18,True,2,2,1.0,1.0,1.0,0.5666666666666667,1.0,0.0,0.0,0.0,True,1.0,True,False
DeepSeek (deepseek-flash),nota_19,True,3,3,1.0,1.0,1.0,0.07407407407407407,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,1.0,True,False
DeepSeek (deepseek-flash),nota_20,True,5,7,0.7142857142857143,1.0,0.8333333333333333,0.02857142857142857,1.0,1.0,1.0,0.8,True,1.0,True,True
Donut (CORD-v2),nota_01,True,1,2,0.5,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,True,1.0,False,False
Donut (CORD-v2),nota_02,True,2,1,1.0,0.5,0.6666666666666666,0.125,0.5,0.0,0.0,0.0,True,1.0,False,False
Donut (CORD-v2),nota_03,True,3,2,0.5,0.3333333333333333,0.4,0.07692307692307693,0.3333333333333333,0.0,0.0,0.0,False,0.0,False,False
Donut (CORD-v2),nota_04,True,11,13,0.8461538461538461,1.0,0.9166666666666666,0.031818181818181815,1.0,0.9090909090909091,1.0,0.9090909090909091,True,1.0,False,False
Donut (CORD-v2),nota_05,True,3,5,0.6,1.0,0.7499999999999999,0.3428521484871599,1.0,0.6666666666666666,0.0,0.0,True,0.0,False,False
Donut (CORD-v2),nota_06,True,22,5,0.4,0.09090909090909091,0.14814814814814814,0.6309523809523809,0.09090909090909091,0.0,0.0,0.0,False,0.0,False,False
Donut (CORD-v2),nota_07,True,3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.0,False,False
Donut (CORD-v2),nota_08,True,1,2,0.5,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,1.0,False,1.0,False,False
Donut (CORD-v2),nota_09,True,2,3,0.3333333333333333,0.5,0.4,0.7619047619047619,0.0,0.0,0.0,0.0,False,1.0,True,False
Donut (CORD-v2),nota_10,True,3,4,0.75,1.0,0.8571428571428571,0.17316017316017315,1.0,0.3333333333333333,0.0,0.0,True,1.0,False,False
Donut (CORD-v2),nota_11,True,10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,0.0,False,False
Donut (CORD-v2),nota_12,True,3,4,0.75,1.0,0.8571428571428571,0.4575757575757576,1.0,0.3333333333333333,1.0,0.0,True,1.0,True,False
Donut (CORD-v2),nota_13,True,4,7,0.5714285714285714,1.0,0.7272727272727273,0.020833333333333332,1.0,0.0,0.5,0.5,True,1.0,True,False
Donut (CORD-v2),nota_14,True,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.0,False,False
Donut (CORD-v2),nota_15,True,4,8,0.5,1.0,0.6666666666666666,0.08333333333333333,1.0,0.0,1.0,0.75,True,1.0,False,False
Donut (CORD-v2),nota_16,True,1,3,0.3333333333333333,1.0,0.5,0.2,1.0,1.0,1.0,0.0,True,1.0,True,False
Donut (CORD-v2),nota_17,True,2,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,0.0,True,False
Donut (CORD-v2),nota_18,True,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.0,False,False
Donut (CORD-v2),nota_19,True,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3636363636363635,0.3333333333333333,0.0,0.3333333333333333,0.0,False,0.5,True,False
Donut (CORD-v2),nota_20,True,5,8,0.5,0.8,0.6153846153846154,0.09290382819794585,0.8,0.0,0.8,0.2,True,1.0,True,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_01,True,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_02,True,2,2,1.0,1.0,1.0,0.03125,1.0,1.0,1.0,1.0,True,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_03,True,3,3,1.0,1.0,1.0,0.07142857142857142,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,False,0.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_04,True,11,11,1.0,1.0,1.0,0.022727272727272728,1.0,1.0,1.0,1.0,True,0.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_05,True,3,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,False,0.0,False,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_06,True,22,11,1.0,0.5,0.6666666666666666,0.1512866877938648,0.45454545454545453,0.0,0.0,0.0,False,0.0,False,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_07,True,3,3,1.0,1.0,1.0,0.007246376811594203,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,0.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_08,True,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_09,True,2,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,False,1.0,True,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_10,True,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_11,True,10,9,1.0,0.9,0.9473684210526316,0.013888888888888888,0.9,0.8,0.8,0.8,False,0.0,True,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_12,True,3,2,1.0,0.6666666666666666,0.8,0.05,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,1.0,True,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_13,True,4,4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_14,True,1,2,0.5,1.0,0.6666666666666666,0.6363636363636364,1.0,1.0,1.0,0.0,False,0.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_15,True,4,4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_16,True,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,1.0,False,True
Qwen-VL (Qwen3-VL-2B-Instruct),nota_17,True,2,2,1.0,1.0,1.0,0.12,1.0,0.5,0.5,0.0,True,0.5,True,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_18,True,2,4,0.25,0.5,0.3333333333333333,0.26666666666666666,0.5,0.0,0.0,0.0,False,0.0,False,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_19,True,3,3,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.5,True,False
Qwen-VL (Qwen3-VL-2B-Instruct),nota_20,True,5,5,1.0,1.0,1.0,0.02857142857142857,1.0,0.8,0.8,0.6,True,1.0,True,False
